Centigor Warhoof,,,1,,100,
Khazrak the One-Eye,,Unique,1,,120,
Malagor the Dark Omen,,Unique,1,,120,
Morghur Master of Skulls,,Unique,1,,120,
Beastlord on Chariot,,,1,,180,
Wargor Standard Bearer,,,1,,80,
Beastlord,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-beastlord-en.pdf,Brayherd,1,,80,
Bestigors,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-bestigors-en.pdf,Brayherd - Brayherd Battleline,10,30,140,360
Great Bray-shaman,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-great-bray-shaman-en.pdf,Brayherd,1,,90,
Tuskgor Chariots,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-tuskgor-chariot-en.pdf,Brayherd,1,4,60,
Gors,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-gors-en.pdf,Brayherd - Battleline,10,30,80,210
Ungors,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-ungors-en.pdf,Brayherd - Battleline,10,40,60,200
Ungor Raiders,,Brayherd - Brayherd Battleline,10,40,100,360
Blood Host of Khorne,,Battalion,Formation,,220,
Blood Hunt,,Battalion,Formation,,130,
The Bloodlords,,Battalion,Formation,,140,
Bloodthunder Stampede,,Battalion,Formation,,180,
Charnel Host,,Battalion,Formation,,140,
Council of Blood,,Battalion,Formation,,110,
Daemon Legion of Khorne,,Battalion,Formation,,160,
Gorethunder Cohort,,Battalion,Formation,,110,
Murderhost,,Battalion,Formation,,120,
The Reapers of Vengeance,,Battalion,Formation,,140,
Skullseeker Host,,Battalion,Formation,,140,
Daemon Cohort of Khorne,,Battalion,Formation,,80,
Blood Throne,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-khorne-bloodthrone-en.pdf,Khorne Daemon,1,,120,
Bloodmaster Herald of Khorne,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-bloodmaster-en.pdf,Khorne Daemon,1,,80,
Karanak,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-karanak-en.pdf,Khorne Daemon,1,,100,
Skullmaster Herald of Khorne,https://www.games-workshop.com/resources/PDF/AoS_Warscrolls/aos-warscroll-skullmaster-en.pdf,Khorne Daemon,1,,100,
